Entity,Day,0 or 1 dose,3 doses,2 doses,4 doses
71-80,2022-01-30,9.852108898643690,2.0257050049212700,12.016775418484200,0
71-80,2022-02-06,20.645890381188300,5.8432877914637900,37.82243626919490,10.88613106901810
71-80,2022-02-13,35.162130385574700,10.02526605743280,48.90227266877720,7.996801279488210
71-80,2022-02-20,59.523809523809500,14.25617508020600,55.69996286669140,0
71-80,2022-02-27,56.37414747919130,12.570468378217200,54.9178977428744,5.249826099510450
71-80,2022-03-06,68.72852233676980,19.16670955513710,59.64299407830270,1.6949439821013900
71-80,2022-03-13,53.35230304108130,23.422606719251900,32.130860230758000,0.25026903921715800
71-80,2022-03-20,42.33275775636380,15.749310352464600,34.2715799198343,2.4130321284259600
71-80,2022-03-27,34.608256860249600,17.41662471255770,28.82150387573380,0.8062256746597220
71-80,2022-04-03,33.56493135971540,11.175024408605900,23.137793271529700,0.9526549540915580
71-80,2022-04-10,19.05936431414320,8.467267738141910,9.401588868518780,1.2792117131934200
71-80,2022-04-17,14.600835617053800,6.248232407937230,4.767050149367570,1.06563040030406
71-80,2022-04-24,10.12270973692200,4.1308373895861600,16.111361732293600,1.38497920799964
71-80,2022-05-01,5.630757449492110,4.6160346841744600,6.506498365242290,0.1703000175409020
71-80,2022-05-08,4.511159480765540,1.4887931098654900,4.932587964485370,0.3328130356209790
71-80,2022-05-15,2.2582284198046600,2.34814359680809,8.308822307526130,0.6505778757981780
71-80,2022-05-22,1.130480001808770,2.083923778403880,0,0.6335409235759580
71-80,2022-05-29,5.658989304510210,2.301782039655100,12.02439233874430,1.0681999914544
71-80,2022-06-05,3.3987787055184800,4.123498788722230,5.264266161297120,1.1767543937067200
71-80,2022-06-12,4.536536127839590,5.707827714928250,3.580635920939560,1.5717114794948800
71-80,2022-06-19,2.2708950732931400,7.615034616678200,10.966315135342600,0.9739347241121190
71-80,2022-06-26,5.6840142782438700,9.471618970299710,5.571547961742040,1.91917530295553
71-80,2022-07-03,7.965135464196720,8.516618050971960,3.7555159139986900,2.306454545207870
71-80,2022-07-10,7.972483542516120,9.513842641042720,22.667170381564000,2.426808140593090
71-80,2022-07-17,10.258163788681800,7.549733871881020,13.305455236647000,2.5458896611420900
71-80,2022-07-24,10.266354873666800,15.629640049389700,9.577626664112630,3.194594745690290
71-80,2022-07-31,11.41422212076250,6.408099838195480,11.555127587867100,3.709965497320880
71-80,2022-08-07,9.135340063033850,9.077105888566150,11.638056444573800,3.4265079929888400
80,2021-10-10,6.357615894039740,0.7087498715390860,2.798670631450060,
80,2021-10-17,9.573856987851840,0,5.811461655249570,
80,2021-10-24,7.473761757828770,1.3692768506632400,10.471125870412300,
80,2021-10-31,17.132455294999500,2.030140824101830,14.553699320572000,
80,2021-11-07,19.335918617267000,1.6673113603926900,14.227899329707900,
80,2021-11-14,9.703713287618060,2.5963573106931000,17.70433756270290,
80,2021-11-21,18.386130368479700,4.439765073002420,18.801368023349500,
80,2021-11-28,27.11584975649970,3.101400282227430,20.02765724095180,
80,2021-12-05,25.030471878809000,7.006705112152980,28.185460328964600,
80,2021-12-12,29.497880522658700,2.711929779098250,28.09924236116890,
80,2021-12-19,29.603640151307500,4.765904717649930,29.169007389481900,
80,2021-12-26,36.31201927838110,1.4774802460891100,27.718030024170100,
80,2022-01-02,11.046916253327900,2.3433815581729800,5.7092615641093000,
80,2022-01-09,18.82634359184490,3.206053028117090,16.262618049182800,
80,2022-01-16,21.297822017464200,3.9791718774869800,16.572331854571400,
80,2022-01-23,15.714446065776200,5.080626723532050,18.395154190810300,
80,2022-01-30,40.477636106051400,15.486021753637100,35.22892023359480,0
80,2022-02-06,54.82885564345580,28.6462940963358,75.5868478884674,0
80,2022-02-13,91.29023532594000,43.175471846228000,103.50205586275300,0
80,2022-02-20,132.07057309598300,61.11096899257860,146.36408428252600,9.927529038022440
80,2022-02-27,144.72107274495200,79.16045528359050,158.42886394547700,4.264528716270240
80,2022-03-06,146.0978289183100,89.5753954817999,139.02893635224700,3.776064283718370
80,2022-03-13,103.22844113710100,68.54809305039010,126.24688279301700,7.431352877791400
80,2022-03-20,89.74417230881080,54.27379533458200,79.01640380543,6.657604926627650
80,2022-03-27,68.2586091170749,36.96238499789200,70.49022749118870,6.632077829984130
80,2022-04-03,52.407915873902,35.71802467007010,32.46120885541780,7.221294152196000
80,2022-04-10,31.94159251654120,32.52011369031750,27.919198554770900,1.8417393386314000
80,2022-04-17,35.40388985964070,22.351666215117900,33.223695139373400,2.677519545892690
80,2022-04-24,16.002194586686200,16.163944564697900,10.084372583952400,2.1719394115781700
80,2022-05-01,17.15874123474300,12.267016877972000,11.85877888459710,3.838656981877270
80,2022-05-08,11.44911441100030,13.470936454599200,10.250978114161700,3.7501250041668100
80,2022-05-15,11.460923979691200,9.325313563668580,5.1636000619632000,2.4444598354878500
80,2022-05-22,4.589208476268060,9.759588795992060,8.684324793747290,1.9857423697849400
80,2022-05-29,10.333425186001700,9.490121646104740,3.509510774198080,2.6975679498098200
80,2022-06-05,5.744683295609910,23.040200541905500,19.5437424490086,5.230516326683110
80,2022-06-12,12.647603279178600,11.708687846382000,28.768699654775600,7.652782333005360
80,2022-06-19,17.258439376855300,15.41275353979570,12.711094970038100,13.205749140734000
80,2022-06-26,12.664057103384800,18.18940520644980,18.327773908581100,11.24369299096290
80,2022-07-03,29.94977652859050,18.74620940618630,31.40123388377850,11.116823923405100
80,2022-07-10,24.20135527589550,26.98327037236910,25.949472669644700,19.667583337071300
80,2022-07-17,29.979821274142400,20.637705087194300,35.35607287072700,18.162876451316600
80,2022-07-24,23.074438137431400,39.90048349997650,41.12226396755080,17.001020061203700
80,2022-07-31,25.389204971668000,17.879279107466400,26.26493818359190,16.236127413009900
80,2022-08-07,26.553985406853200,24.280389943062500,16.95362242399130,14.121729306623100
All ages,2021-10-10,1.1671478402768700,0.03643129316520460,0.31469036634538100,0
All ages,2021-10-17,0.6205678317456980,0.023114330159231000,0.46335541488745000,0
All ages,2021-10-24,1.3385805672088500,0.0534701066447157,0.5012657721551350,0
All ages,2021-10-31,1.6165321936168900,0.10725042417828200,0.7961068230075950,0
All ages,2021-11-07,1.5824110199394300,0.08220344866590890,1.114685877778800,0
